Timestamp,Uptime(s),Voltage(V),Temp(C),Humidity(%),PacketID,RSSI (dBm),SNR (dB)
2025-03-25 12:45:08,105,4.81,22.4,62.8,6,-55,9.0
2025-03-25 12:45:24,120,4.8,22.4,62.8,7,-53,9.0
2025-03-25 12:45:40,135,4.8,22.4,62.8,8,-52,9.0
2025-03-25 12:45:56,150,4.8,22.4,62.8,9,-52,9.0
2025-03-25 12:46:12,165,4.8,22.4,62.8,10,-54,9.0
2025-03-25 12:46:28,180,4.8,22.4,62.8,11,-53,9.0
2025-03-25 12:46:44,195,4.79,22.4,62.1,12,-52,9.0
2025-03-25 12:47:00,210,4.78,22.4,62.1,13,-51,9.0
2025-03-25 12:47:16,225,4.78,22.4,62.1,14,-52,9.0
2025-03-25 12:47:32,240,4.77,22.4,62.1,15,-53,9.0
2025-03-25 12:47:48,255,4.77,22.4,62.1,16,-53,9.0
2025-03-25 12:48:04,270,4.77,22.4,62.1,17,-52,9.0
2025-03-25 12:48:20,285,4.76,22.4,62.1,18,-51,10.0
2025-03-25 12:48:36,300,4.76,22.4,62.1,19,-56,10.0
2025-03-25 12:48:52,315,4.75,22.4,62.1,20,-51,9.0
2025-03-25 12:49:08,330,4.75,22.4,62.1,21,-57,10.0
2025-03-25 12:49:24,345,4.75,22.4,62.1,22,-57,10.0
2025-03-25 12:49:40,360,4.74,22.4,62.1,23,-52,10.0
2025-03-25 12:49:56,375,4.74,22.4,62.4,24,-57,9.0
2025-03-25 12:50:12,390,4.73,22.4,62.4,25,-58,9.0
