Timestamp,Uptime(s),Voltage(V),Temp(C),Humidity(%),PacketID,RSSI (dBm),SNR (dB)
2025-03-25 01:54:33,30,4.9,22.9,58.7,0,-59,9.0
2025-03-25 01:54:48,45,4.89,22.9,58.3,1,-57,10.0
2025-03-25 01:55:03,60,4.88,22.7,58.8,2,-69,9.0
2025-03-25 01:55:18,75,4.87,22.6,59.1,3,-75,9.0
2025-03-25 01:55:33,90,4.86,22.4,59.6,4,-65,9.0
2025-03-25 01:55:48,105,4.85,22.3,60.0,5,-84,9.0
2025-03-25 01:56:03,120,4.84,22.2,60.5,6,-68,9.0
2025-03-25 01:56:18,135,4.83,22.0,60.7,7,-73,9.0
2025-03-25 01:56:33,150,4.81,21.9,61.1,8,-67,9.0
2025-03-25 01:56:48,165,4.81,21.7,61.5,9,-65,9.0
2025-03-25 01:57:03,180,4.8,21.7,61.9,10,-66,9.0
2025-03-25 01:57:18,195,4.79,21.5,62.5,11,-66,9.0
2025-03-25 01:57:33,210,4.79,21.5,62.9,12,-66,9.0
2025-03-25 01:57:48,225,4.78,21.4,63.3,13,-66,9.0
2025-03-25 01:58:03,240,4.77,21.3,63.4,14,-65,9.0
2025-03-25 01:58:18,255,4.75,21.2,63.7,15,-66,9.0
2025-03-25 01:58:33,270,4.75,21.2,63.9,16,-65,9.0
2025-03-25 01:58:48,285,4.74,21.1,64.0,17,-66,10.0
2025-03-25 01:59:03,300,4.73,21.1,64.2,18,-66,10.0
2025-03-25 01:59:18,315,4.72,21.0,64.6,19,-70,9.0
2025-03-25 01:59:33,330,4.71,21.0,64.7,20,-70,9.0
2025-03-25 01:59:48,345,4.7,20.9,65.0,21,-70,9.0
2025-03-25 02:00:03,360,4.69,20.9,65.1,22,-70,9.0
2025-03-25 02:00:18,375,4.68,20.8,65.4,23,-70,9.0
2025-03-25 02:00:48,405,4.67,20.8,65.7,25,-68,9.0
2025-03-25 02:01:03,420,4.65,20.7,65.6,26,-70,10.0
2025-03-25 02:01:18,435,4.65,20.7,65.8,27,-71,9.0
2025-03-25 02:01:33,450,4.64,20.6,66.0,28,-71,9.0
2025-03-25 02:01:48,465,4.63,20.6,66.0,29,-71,9.0
2025-03-25 02:02:03,480,4.63,20.6,66.2,30,-70,10.0
2025-03-25 02:02:33,510,4.61,20.5,66.6,32,-70,9.0
2025-03-25 02:02:48,525,4.6,20.5,66.4,33,-71,9.0
2025-03-25 02:03:03,540,4.59,20.5,66.7,34,-71,9.0
2025-03-25 02:03:18,555,4.58,20.5,66.8,35,-70,9.0
2025-03-25 02:03:33,570,4.57,20.5,66.8,36,-71,9.0
2025-03-25 02:03:48,585,4.56,20.5,66.7,37,-71,9.0
2025-03-25 02:04:03,600,4.56,20.4,66.9,38,-70,9.0
2025-03-25 02:04:18,615,4.55,20.4,66.9,39,-71,9.0
2025-03-25 02:04:33,630,4.54,20.4,67.0,40,-71,9.0
2025-03-25 02:04:48,645,4.53,20.4,67.3,41,-71,9.0
2025-03-25 02:05:03,660,4.53,20.4,67.1,42,-71,9.0
2025-03-25 02:05:18,675,4.52,20.4,67.2,43,-71,10.0
2025-03-25 02:05:33,690,4.51,20.4,67.2,44,-71,10.0
2025-03-25 02:05:48,705,4.5,20.4,67.3,45,-71,9.0
2025-03-25 02:06:03,720,4.49,20.4,67.3,46,-70,9.0
2025-03-25 02:06:18,735,4.49,20.4,67.4,47,-70,9.0
2025-03-25 02:06:33,750,4.48,20.4,67.4,48,-70,9.0
2025-03-25 02:06:48,765,4.47,20.4,67.4,49,-69,10.0
2025-03-25 02:07:03,780,4.46,20.4,67.4,50,-69,9.0
2025-03-25 02:07:18,795,4.45,20.4,67.5,51,-70,9.0
2025-03-25 02:07:33,810,4.44,20.3,67.5,52,-71,10.0
2025-03-25 02:07:48,825,4.43,20.3,67.5,53,-72,10.0
2025-03-25 02:08:03,840,4.42,20.3,67.5,54,-72,9.0
2025-03-25 02:08:18,855,4.42,20.3,67.6,55,-71,9.0
2025-03-25 02:08:33,870,4.41,20.3,67.7,56,-71,10.0
2025-03-25 02:08:48,885,4.4,20.2,67.8,57,-67,9.0
2025-03-25 02:09:03,900,4.39,20.3,67.9,58,-66,10.0
2025-03-25 02:09:18,915,4.38,20.3,67.9,59,-66,9.0
2025-03-25 02:09:33,930,4.37,20.3,67.8,60,-66,10.0
2025-03-25 02:09:48,945,4.36,20.2,67.8,61,-66,9.0
2025-03-25 02:10:03,960,4.36,20.2,67.9,62,-66,9.0
2025-03-25 02:10:18,975,4.35,20.2,68.0,63,-67,9.0
2025-03-25 02:10:33,990,4.34,20.2,68.2,64,-66,10.0
2025-03-25 02:10:48,1005,4.34,20.3,67.9,65,-67,9.0
2025-03-25 02:11:03,1020,4.33,20.2,68.0,66,-67,9.0
2025-03-25 02:11:18,1035,4.32,20.2,68.0,67,-67,9.0
2025-03-25 02:11:33,1050,4.31,20.2,68.0,68,-68,9.0
2025-03-25 02:11:48,1065,4.3,20.2,68.2,69,-67,10.0
2025-03-25 02:12:03,1080,4.3,20.2,67.8,70,-67,9.0
2025-03-25 02:12:18,1095,4.29,20.2,68.1,71,-67,9.0
2025-03-25 02:12:33,1110,4.28,20.2,68.0,72,-68,9.0
2025-03-25 02:12:48,1125,4.27,20.2,68.1,73,-67,9.0
2025-03-25 02:13:03,1140,4.26,20.2,68.0,74,-68,9.0
2025-03-25 02:13:18,1155,4.25,20.2,68.1,75,-68,10.0
2025-03-25 02:13:33,1170,4.25,20.1,68.1,76,-68,10.0
2025-03-25 02:13:48,1185,4.24,20.1,68.4,77,-68,10.0
2025-03-25 02:14:03,1200,4.23,20.2,68.2,78,-68,9.0
2025-03-25 02:14:18,1215,4.22,20.1,68.3,79,-68,9.0
2025-03-25 02:14:33,1230,4.22,20.1,68.4,80,-68,9.0
2025-03-25 02:14:48,1245,4.21,20.1,68.4,81,-68,9.0
2025-03-25 02:15:03,1260,4.2,20.1,68.4,82,-67,9.0
2025-03-25 02:15:18,1275,4.19,20.1,68.5,83,-68,9.0
2025-03-25 02:15:33,1290,4.19,20.1,68.5,84,-69,9.0
2025-03-25 02:15:48,1305,4.18,20.1,68.5,85,-68,9.0
2025-03-25 02:16:03,1320,4.17,20.1,68.4,86,-67,9.0
2025-03-25 02:16:18,1335,4.17,20.1,68.5,87,-69,9.0
2025-03-25 02:16:33,1350,4.16,20.1,68.3,88,-69,9.0
2025-03-25 02:16:48,1365,4.15,20.1,68.3,89,-69,9.0
2025-03-25 02:17:03,1380,4.14,20.1,68.3,90,-69,9.0
2025-03-25 02:17:18,1395,4.13,20.1,68.3,91,-69,9.0
2025-03-25 02:17:33,1410,4.13,20.1,68.4,92,-69,9.0
2025-03-25 02:17:48,1425,4.12,20.1,68.3,93,-68,9.0
2025-03-25 02:18:03,1440,4.11,20.0,68.5,94,-68,10.0
2025-03-25 02:18:18,1455,4.1,20.1,68.6,95,-68,10.0
2025-03-25 02:18:33,1470,4.09,20.1,68.6,96,-69,10.0
2025-03-25 02:18:48,1485,4.09,20.0,68.4,97,-68,9.0
2025-03-25 02:19:03,1500,4.08,20.0,68.4,98,-69,9.0
2025-03-25 02:19:18,1515,4.07,20.0,68.6,99,-69,10.0
2025-03-25 02:19:33,1530,4.06,20.0,68.6,100,-69,10.0
2025-03-25 02:19:48,1545,4.06,20.0,68.7,101,-68,10.0
2025-03-25 02:20:03,1560,4.05,20.0,68.5,102,-68,10.0
2025-03-25 02:20:18,1575,4.05,20.1,68.5,103,-68,9.0
2025-03-25 02:20:33,1590,4.04,20.1,68.7,104,-68,10.0
2025-03-25 02:20:48,1605,4.03,20.1,68.4,105,-68,10.0
2025-03-25 02:21:03,1620,4.02,20.1,68.4,106,-69,10.0
2025-03-25 02:21:18,1635,4.02,20.1,68.5,107,-68,10.0
2025-03-25 02:21:33,1650,4.01,20.1,68.6,108,-68,9.0
2025-03-25 02:21:48,1665,4.0,20.1,68.3,109,-68,10.0
2025-03-25 02:22:03,1680,3.99,20.1,68.3,110,-67,9.0
2025-03-25 02:22:18,1695,3.98,20.1,68.5,111,-68,9.0
2025-03-25 02:22:33,1710,3.97,20.1,68.4,112,-68,10.0
2025-03-25 02:22:48,1725,3.97,20.1,68.3,113,-68,9.0
2025-03-25 02:23:03,1740,3.96,20.1,68.4,114,-68,10.0
2025-03-25 02:23:18,1755,3.95,20.1,68.4,115,-68,9.0
